;Вильнюс;Витебск;Воронеж;Волгоград;Калининград;Каунас;Киев;Житомир;Кишинев;С.Петербург;Москва;Мурманск;Орел;Одесса;Рига;Таллинн;Харьков;Ярославль;Уфа;Брест;Ниж.Новгород;Даугавпилс;Донецк;Казань;Минск;Симферополь;Самара
Вильнюс;0;319;985;1477;306;91;589;543;888;657;791;1637;733;990;261;529;908;960;1955;307;1190;153;1140;1509;172;1252;1625
Витебск;;0;712;1213;621;403;526;558;912;528;471;1540;455;968;426;575;706;654;1636;550;871;244;954;1189;222;1171;1308
Воронеж;;;0;501;1286;1078;620;754;909;1073;466;1952;259;842;1138;1250;279;665;1164;1064;606;953;417;796;820;836;757
Волгоград;;;;0;1773;1569;1026;1156;1183;1545;912;2338;758;1061;1639;1745;616;1038;1032;1518;848;1454;501;847;1308;895;633
Калининград;;;;;0;217;824;740;1033;826;1089;1710;1037;1164;335;584;1186;1238;2252;359;1483;402;1407;1804;466;1454;1929
Каунас;;;;;;0;667;608;941;679;872;1633;824;1051;228;507;996;1031;2037;312;1269;198;1227;1589;262;1323;1712
Киев;;;;;;;0;134;400;1055;755;2064;474;441;836;1064;409;1003;1772;509;1104;659;593;1369;433;667;1375
Житомир;;;;;;;;0;359;1082;855;2095;592;446;802;1051;540;1098;1901;402;1219;640;709;1493;412;717;1507
Кишинев;;;;;;;;;0;1439;1144;2452;838;156;1149;1406;636;1394;2070;674;1465;996;682;1701;770;467;1656
С.Петербург;;;;;;;;;;0;634;1012;851;1496;490;317;1167;608;1631;963;896;504;1411;1198;691;1686;1417
Москва;;;;;;;;;;;0;1487;325;1136;842;868;647;250;1164;997;401;693;860;717;675;1227;853
Мурманск;;;;;;;;;;;;0;1787;2504;1408;1132;2117;1305;1961;1940;1507;1493;2345;1670;1699;2672;1963
Орел;;;;;;;;;;;;;0;816;881;1002;331;572;1314;842;632;697;564;900;573;903;937
Одесса;;;;;;;;;;;;;;0;1248;1494;563;1385;1988;805;1425;1084;560;1639;855;312;1570
Рига;;;;;;;;;;;;;;;0;279;1111;949;1985;540;1214;190;1354;1536;402;1503;1695
Таллинн;;;;;;;;;;;;;;;;0;1280;900;1937;819;1185;410;1527;1497;639;1729;1697
Харьков;;;;;;;;;;;;;;;;;0;882;1433;906;873;921;247;1075;735;583;1020
Ярославль;;;;;;;;;;;;;;;;;;0;1042;1201;288;836;1078;597;874;1465;809
Уфа;;;;;;;;;;;;;;;;;;;0;2140;771;1853;1312;449;1831;1895;419
Брест;;;;;;;;;;;;;;;;;;;;0;1396;459;1103;1703;328;1102;1776
Ниж.Новгород;;;;;;;;;;;;;;;;;;;;;0;1082;1015;322;1077;1442;523
Даугавпилс;;;;;;;;;;;;;;;;;;;;;;0;1164;1404;228;1326;1542
Донецк;;;;;;;;;;;;;;;;;;;;;;;0;1159;969;443;1041
Казань;;;;;;;;;;;;;;;;;;;;;;;;0;1389;1602;296
Минск;;;;;;;;;;;;;;;;;;;;;;;;;0;1101;1485
Симферополь;;;;;;;;;;;;;;;;;;;;;;;;;;0;1477
Самара;;;;;;;;;;;;;;;;;;;;;;;;;;;0
